FPS 2.96, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.28, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.00, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.00, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.18, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.99, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.29, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.04, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.02, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.20, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.03, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.98, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.05, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.04, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.12, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.96, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.13, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.03, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.13, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.15, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.10, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.10, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.03, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.97, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.00, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.10, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.21, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.11, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.03, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.07, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.13, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.27, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.11, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.96, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.07, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.30, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.17, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.11, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.08, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.02, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.99, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.01, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.22, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.28, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.17, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.08, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.12, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.93, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.04, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.21, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.36, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.09, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.18, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.10, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.07, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.13, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.01, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.29, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.97, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.13, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.15, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.19, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.05, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.04, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.98, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.25, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.04, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.05, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.08, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.10, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.29, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.11, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.17, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.12, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
